0.37132 1:0.26592 2:0.265892 3:0.714928535467987 4:0.171 5:0.945452737766528 6:0.311624 7:0.911102894854934 8:0.331785 9:0.177716 10:0.296831 11:0.287751 12:0.2883 13:0.796510887431526 14:0.790987700122713 15:0.759550561797753 16:0.678651685393258 17:0.799455706072509 18:0.944953931580313 19:0.875280898876404 20:1.23551120006 21:0.2022 22:0.2921 23:0.2472 30:0.304412 #T0911:Atome2_CBS_TS1
0.53983 1:0.53314 2:0.4575 3:0.734377360556584 4:0.371 5:1 6:0.388767 7:0.991885997549147 8:0.499007 9:0.415296 10:0.467857 11:0.478264 12:0.4687 13:0.832471718683839 14:0.833309551668046 15:0.824719101123595 16:0.739325842696629 17:0.836355593905091 18:0.947824376956477 19:0.908988764044944 20:1.17484552175 21:0.4494 22:0.5618 23:0.9888 30:0.481350 #T0911:FALCON_TOPOX_TS2
0.53186 1:0.57156 2:0.454614 3:0.749359781035029 4:0.368 5:1 6:0.385527 7:0.986132168642883 8:0.512308 9:0.434804 10:0.482135 11:0.489819 12:0.4671 13:0.851234709085029 14:0.832168031734254 15:0.81123595505618 16:0.719101123595506 17:0.836661615078391 18:0.947774635880119 19:0.9 20:1.21554750586 21:0.4157 22:0.5393 23:1 30:0.486396 #T0911:FALCON_TOPOX_TS3
0.53309 1:0.56815 2:0.454008 3:0.756565306039279 4:0.368 5:1 6:0.393003 7:0.981505872555619 8:0.516848 9:0.440803 10:0.482322 11:0.499627 12:0.4664 13:0.8319732740312 14:0.835763819525698 15:0.81123595505618 16:0.71685393258427 17:0.839272184743349 18:0.947724228379702 19:0.9 20:1.18802938704 21:0.427 22:0.5506 23:0.9775 30:0.483029 #T0911:FALCON_TOPOX_TS4
0.5288 1:0.54295 2:0.455352 3:0.75235906435204 4:0.370 5:1 6:0.385327 7:0.971410462400111 8:0.503695 9:0.428975 10:0.471029 11:0.481554 12:0.4679 13:0.812963161772796 14:0.831868382751634 15:0.791011235955056 16:0.725842696629214 17:0.836260219928741 18:0.947636741261251 19:0.892134831460674 20:1.17951061629 21:0.4157 22:0.573 23:1 30:0.481075 #T0911:FALCON_TOPOX_TS5
0.53248 1:0.50904 2:0.455839 3:0.716683811897267 4:0.369 5:1 6:0.373697 7:0.983983424377363 8:0.508731 9:0.459962 10:0.497066 11:0.49767 12:0.4678 13:0.822151480497311 14:0.831354698781428 15:0.831460674157303 16:0.719101123595506 17:0.834635007983538 18:0.9476981907566 19:0.912359550561798 20:1.20299112184 21:0.4045 22:0.5618 23:0.9888 30:0.481302 #T0911:FALCON_TOPO_TS1
0.5288 1:0.53768 2:0.456016 3:0.757926221582243 4:0.369 5:1 6:0.387824 7:0.98412379292014 8:0.505522 9:0.430056 10:0.508462 11:0.495323 12:0.4678 13:0.829811657936939 14:0.830512827830256 15:0.808988764044944 16:0.748314606741573 17:0.833727968089848 18:0.947685509768266 19:0.901123595505618 20:1.19150725712 21:0.4157 22:0.5618 23:0.9888 30:0.482748 #T0911:FALCON_TOPO_TS2
0.53431 1:0.52382 2:0.453517 3:0.757205833741896 4:0.368 5:1 6:0.385842 7:0.972452978563662 8:0.497053 9:0.43694 10:0.482247 11:0.482305 12:0.4657 13:0.826789849733107 14:0.83375189064239 15:0.797752808988764 16:0.71685393258427 17:0.838299357875765 18:0.947730649208959 19:0.895505617977528 20:1.1844428204 21:0.4157 22:0.5618 23:0.9775 30:0.479814 #T0911:FALCON_TOPO_TS3
0.5288 1:0.47683 2:0.455271 3:0.730687328213228 4:0.370 5:1 6:0.383066 7:0.966790840901638 8:0.48591 9:0.417122 10:0.465923 11:0.470915 12:0.4679 13:0.81418743519386 14:0.83446534060101 15:0.815730337078652 16:0.730337078651685 17:0.837320073709456 18:0.947805359670608 19:0.904494382022472 20:1.18430883518 21:0.4607 22:0.5618 23:0.9888 30:0.477987 #T0911:FALCON_TOPO_TS4
0.53983 1:0.54017 2:0.455591 3:0.735406486042794 4:0.370 5:1 6:0.38131 7:0.978970069814805 8:0.51317 9:0.456243 10:0.503 11:0.499025 12:0.4683 13:0.825145682535766 14:0.833195399674667 15:0.806741573033708 16:0.719101123595506 17:0.83693740605353 18:0.947809539701474 19:0.897752808988764 20:1.18795955579 21:0.5056 22:0.5506 23:0.9888 30:0.484207 #T0911:FALCON_TOPO_TS5
0.53309 1:0.41317 2:0.428311 3:0.762047663329418 4:0.342 5:0.952237215666573 6:0.338001 7:0.915807195930203 8:0.408336 9:0.34596 10:0.402283 11:0.392259 12:0.4444 13:0.806015810197611 14:0.794811791900916 15:0.761797752808989 16:0.721348314606742 17:0.802124396252978 18:0.943835047750007 19:0.874157303370787 20:1.15721522768 21:0.3371 22:0.4944 23:0.7753 30:0.450713 #T0911:FFAS-3D_TS1
0.54412 1:0.30934 2:0.432267 3:0.739998855612459 4:0.346 5:0.900887669210778 6:0.282428 7:0.850148364555826 8:0.376655 9:0.343955 10:0.389452 11:0.395427 12:0.4460 13:0.743976154674544 14:0.797694129733741 15:0.674157303370786 16:0.710112359550562 17:0.804350818791211 18:0.943532859357938 19:0.837078651685393 20:1.0976172806 21:0.3596 22:0.5169 23:0.7865 30:0.444724 #T0911:FLOUDAS_SERVER_TS1
0.54289 1:0.30770 2:0.432751 3:0.709482403394961 4:0.345 5:0.903609628904325 6:0.285352 7:0.849200303871313 8:0.385075 9:0.346187 10:0.398008 11:0.414421 12:0.4485 13:0.731670406390761 14:0.802160326474701 15:0.671910112359551 16:0.719101123595506 17:0.807776993192988 18:0.944179609757718 19:0.832584269662921 20:1.08849820617 21:0.4382 22:0.4831 23:0.7753 30:0.444363 #T0911:FLOUDAS_SERVER_TS2
0.54289 1:0.29503 2:0.431461 3:0.719338132351301 4:0.345 5:0.898308098882201 6:0.274977 7:0.8472563817118 8:0.383348 9:0.32765 10:0.39325 11:0.401694 12:0.4466 13:0.753834756428936 14:0.797993778716361 15:0.653932584269663 16:0.687640449438202 17:0.803558783013726 18:0.943541882485929 19:0.826966292134831 20:1.13437352266 21:0.3933 22:0.4831 23:0.7753 30:0.446218 #T0911:FLOUDAS_SERVER_TS3
0.54473 1:0.30517 2:0.433009 3:0.746822369236228 4:0.347 5:0.90776130094583 6:0.296535 7:0.860569548352578 8:0.398061 9:0.345297 10:0.414667 11:0.418841 12:0.4478 13:0.734556250896033 14:0.801104420535944 15:0.651685393258427 16:0.719101123595506 17:0.806784907863368 18:0.943796144884005 19:0.825842696629214 20:1.13064406293 21:0.382 22:0.5169 23:0.7865 30:0.447013 #T0911:FLOUDAS_SERVER_TS4
0.54963 1:0.31832 2:0.429554 3:0.71329016769394 4:0.342 5:0.893810543132349 6:0.261575 7:0.838621020055576 8:0.365608 9:0.326191 10:0.370648 11:0.389999 12:0.4456 13:0.720515981902625 14:0.797594246739534 15:0.656179775280899 16:0.696629213483146 17:0.801296829041431 18:0.944041673049704 19:0.826966292134831 20:1.05610482999 21:0.3483 22:0.4831 23:0.7753 30:0.439381 #T0911:FLOUDAS_SERVER_TS5
0.08701 1:0.18203 2:0.0780043 3:0.682506142850027 4:0.044 5:0.810011429265654 6:0.225836 7:0.748934830701255 8:0.199511 9:0.103487 10:0.22729 11:0.178077 12:0.0770 13:0.670694455094971 14:0.749564795525242 15:0.842696629213483 16:0.617977528089888 17:0.760276250600618 18:0.938329595620712 19:0.921348314606742 20:1.10850020944 21:0.0674 22:0.0225 23:0 30:0.086300 #T0911:GAPF_LNCC_SERVER_TS1
0.07904 1:0.13814 2:0.0760771 3:0.618420358242698 4:0.048 5:0.688137115518757 6:0.143954 7:0.630599841540241 8:0.010639 9:-0.0394773 10:0.0451431 11:0.0157319 12:0.0757 13:0.637975614553917 14:0.706258383037014 15:0.860674157303371 16:0.476404494382022 17:0.718988214973677 18:0.933729160840807 19:0.926966292134832 20:0.981787746956 21:0.1573 22:0.0112 23:0 30:0.091663 #T0911:GAPF_LNCC_SERVER_TS2
0.10846 1:0.19166 2:0.0933636 3:0.693258445929953 4:0.048 5:0.828486190653772 6:0.246036 7:0.752636730544193 8:0.232693 9:0.138597 10:0.253992 11:0.199491 12:0.0896 13:0.6629438574615 14:0.761308181844125 15:0.853932584269663 16:0.615730337078652 17:0.770275564118928 18:0.939064761833746 19:0.92247191011236 20:1.09947843981 21:0.191 22:0.0449 23:0.0337 30:0.106913 #T0911:GAPF_LNCC_SERVER_TS3
0.07904 1:0.14228 2:0.0751914 3:0.626733057610033 4:0.044 5:0.716221027688949 6:0.153811 7:0.668891393327465 8:0.0448707 9:-0.0530699 10:0.0679136 11:0.0114489 12:0.0761 13:0.666108297519779 14:0.710453468793699 15:0.871910112359551 16:0.501123595505618 17:0.726272198779014 18:0.93823042185102 19:0.932584269662921 20:1.09652158457 21:0.0787 22:0.0112 23:0 30:0.088943 #T0911:GAPF_LNCC_SERVER_TS4
0.0962 1:0.17419 2:0.0904864 3:0.68612701796071 4:0.048 5:0.794533950090332 6:0.206242 7:0.743704922953451 8:0.163108 9:0.0784698 10:0.181582 11:0.153239 12:0.0847 13:0.673874765364265 14:0.743643160868697 15:0.862921348314607 16:0.573033707865168 17:0.754869956586475 18:0.940058188952399 19:0.928089887640449 20:1.16111043396 21:0.1236 22:0.1124 23:0.0337 30:0.107813 #T0911:GAPF_LNCC_SERVER_TS5
0.61029 1:0.80482 2:0.424402 3:0.902878957965163 4:0.336 5:1 6:0.485337 7:1 8:0.648655 9:0.573845 10:0.557738 11:0.587676 12:0.4352 13:0.970049644420587 14:0.841086156217003 15:0.824719101123595 16:0.761797752808989 17:0.843465747132204 18:0.948725975852997 19:0.908988764044944 20:1.38161965565 21:0.4494 22:0.5955 23:0.9213 30:0.510710 #T0911:GOAL_TS1
0.61029 1:0.75599 2:0.429084 3:0.844609872935934 4:0.342 5:1 6:0.473842 7:1 8:0.669825 9:0.594309 10:0.596589 11:0.618685 12:0.4392 13:0.967687183470975 14:0.841528495191347 15:0.808988764044944 16:0.766292134831461 17:0.844002127701049 18:0.948723964395029 19:0.901123595505618 20:1.35479422039 21:0.4494 22:0.6292 23:0.9213 30:0.509383 #T0911:GOAL_TS2
0.6201 1:0.71575 2:0.424353 3:0.842780499471647 4:0.339 5:1 6:0.461987 7:1 8:0.64662 9:0.535285 10:0.558779 11:0.583956 12:0.4378 13:0.949887874958741 14:0.8372620644388 15:0.838202247191011 16:0.77752808988764 17:0.840723229428149 18:0.948250242035205 19:0.915730337078652 20:1.36656457277 21:0.4382 22:0.6404 23:0.9775 30:0.505423 #T0911:GOAL_TS3
0.65257 1:0.73540 2:0.443227 3:0.849668230525755 4:0.359 5:1 6:0.465044 7:1 8:0.637541 9:0.552939 10:0.552738 11:0.570398 12:0.4593 13:0.958533405793961 14:0.825375988128193 15:0.838202247191011 16:0.766292134831461 17:0.830137063182673 18:0.947392074077799 19:0.915730337078652 20:1.39890458376 21:0.4944 22:0.618 23:0.9438 30:0.520196 #T0911:GOAL_TS4
0.64706 1:0.66172 2:0.441525 3:0.833021096660817 4:0.356 5:1 6:0.450393 7:1 8:0.633326 9:0.526416 10:0.536752 11:0.551683 12:0.4564 13:0.935490592899081 14:0.825304643132331 15:0.838202247191011 16:0.748314606741573 17:0.828676907564332 18:0.947619704494697 19:0.915730337078652 20:1.38052782364 21:0.4494 22:0.6292 23:0.9438 30:0.509813 #T0911:GOAL_TS5
0.56924 1:0.39027 2:0.444934 3:0.758076062253036 4:0.359 5:0.949544969045572 6:0.331838 7:0.950058871192116 8:0.452845 9:0.409741 10:0.454894 11:0.457311 12:0.4579 13:0.841639166080425 14:0.790459747153335 15:0.752808988764045 16:0.71685393258427 17:0.797751914437324 18:0.943141181742115 19:0.873033707865169 20:1.14686490595 21:0.3146 22:0.5281 23:0.7865 30:0.462150 #T0911:HHGG_TS1
0.56618 1:0.38039 2:0.443256 3:0.77218084451684 4:0.358 5:0.954845827605862 6:0.325911 7:0.956305608053298 8:0.438624 9:0.394468 10:0.430416 11:0.440984 12:0.4570 13:0.846181047100519 14:0.789703490197198 15:0.773033707865169 16:0.70561797752809 17:0.796105379287398 18:0.943251873075885 19:0.88314606741573 20:1.14230648115 21:0.3146 22:0.5281 23:0.7978 30:0.460871 #T0911:HHGG_TS2
0.56924 1:0.38551 2:0.443867 3:0.756920148506924 4:0.358 5:0.957621123952969 6:0.33716 7:0.960078096687896 8:0.440995 9:0.405143 10:0.435653 11:0.445357 12:0.4575 13:0.863233522153281 14:0.790188636169059 15:0.757303370786517 16:0.712359550561798 17:0.797138730508852 18:0.94325075413826 19:0.875280898876404 20:1.13843121003 21:0.3371 22:0.5169 23:0.7865 30:0.461532 #T0911:HHGG_TS3
0.56985 1:0.38897 2:0.443845 3:0.767460040086496 4:0.359 5:0.958313648951279 6:0.330066 7:0.961978330658106 8:0.442014 9:0.397631 10:0.450793 11:0.454922 12:0.4576 13:0.849940086619345 14:0.789089923232784 15:0.757303370786517 16:0.712359550561798 17:0.795900753753807 18:0.943199657543718 19:0.875280898876404 20:1.1371213834 21:0.3146 22:0.5169 23:0.7865 30:0.461141 #T0911:HHGG_TS4
0.56679 1:0.36921 2:0.443464 3:0.753160135630506 4:0.358 5:0.951220236911513 6:0.327136 7:0.950575173889781 8:0.428871 9:0.380313 10:0.407363 11:0.432001 12:0.4570 13:0.847121323762307 14:0.790545361148369 15:0.750561797752809 16:0.707865168539326 17:0.798197453568412 18:0.943183624840515 19:0.871910112359551 20:1.12212356785 21:0.3371 22:0.5281 23:0.7865 30:0.458384 #T0911:HHGG_TS5
0.55699 1:0.32992 2:0.440824 3:0.739897589664616 4:0.356 5:0.895919535944429 6:0.311087 7:0.852710124009734 8:0.380247 9:0.342923 10:0.39253 11:0.387204 12:0.4541 13:0.765341126184848 14:0.784352615507548 15:0.737078651685393 16:0.701123595505618 17:0.79194369068498 18:0.943056280446001 19:0.865168539325843 20:1.12944789536 21:0.3034 22:0.5281 23:0.7753 30:0.451774 #T0911:HHPred0_TS1
0.55699 1:0.32992 2:0.440824 3:0.739897589664616 4:0.356 5:0.895919535944429 6:0.311087 7:0.852710124009734 8:0.380247 9:0.342923 10:0.39253 11:0.387204 12:0.4541 13:0.765341126184848 14:0.784352615507548 15:0.737078651685393 16:0.701123595505618 17:0.79194369068498 18:0.943056280446001 19:0.865168539325843 20:1.12944789536 21:0.3034 22:0.5281 23:0.7753 30:0.451774 #T0911:HHPred1_TS1
0.52022 1:0.41348 2:0.425128 3:0.75452187447386 4:0.336 5:0.958741113132445 6:0.342152 7:0.917923713405478 8:0.425232 9:0.364589 10:0.417631 11:0.408413 12:0.4412 13:0.811319194620132 14:0.799991438600497 15:0.779775280898876 16:0.721348314606742 17:0.806223121667527 18:0.944186926448048 19:0.882022471910112 20:1.14981077583 21:0.3258 22:0.4607 23:0.7753 30:0.448107 #T0911:IntFOLD4_TS1
0.52022 1:0.41348 2:0.425128 3:0.75452187447386 4:0.336 5:0.958741113132445 6:0.342152 7:0.917923713405478 8:0.425232 9:0.364589 10:0.417631 11:0.408413 12:0.4412 13:0.811319194620132 14:0.799991438600497 15:0.779775280898876 16:0.721348314606742 17:0.806223121667527 18:0.944186926448048 19:0.882022471910112 20:1.14981077583 21:0.3258 22:0.4607 23:0.7753 30:0.448107 #T0911:IntFOLD4_TS2
0.51838 1:0.40337 2:0.425129 3:0.749543377021768 4:0.336 5:0.956060282038896 6:0.324181 7:0.912505029531059 8:0.408895 9:0.347073 10:0.380231 11:0.381899 12:0.4410 13:0.797468968069536 14:0.799163836648497 15:0.77752808988764 16:0.719101123595506 17:0.806060188007167 18:0.944139145394493 19:0.882022471910112 20:1.16025018877 21:0.3034 22:0.4607 23:0.7753 30:0.445867 #T0911:IntFOLD4_TS3
0.51348 1:0.41706 2:0.421105 3:0.748175051775303 4:0.331 5:0.95262264994638 6:0.338516 7:0.912401539757331 8:0.394709 9:0.34886 10:0.380226 11:0.386835 12:0.4376 13:0.809289674694015 14:0.800761964555806 15:0.77752808988764 16:0.728089887640449 17:0.807111786437373 18:0.943991200007567 19:0.88314606741573 20:1.1728851272 21:0.3034 22:0.4607 23:0.764 30:0.445225 #T0911:IntFOLD4_TS4
0.53738 1:0.43489 2:0.425836 3:0.721430961940058 4:0.337 5:0.976658718878916 6:0.338234 7:0.931278410811371 8:0.425926 9:0.357986 10:0.397283 11:0.398222 12:0.4417 13:0.814809174048871 14:0.810650380982278 15:0.795505617977528 16:0.70561797752809 17:0.816012835444557 18:0.944899248907306 19:0.89438202247191 20:1.15179270436 21:0.3146 22:0.4494 23:0.7753 30:0.447194 #T0911:IntFOLD4_TS5
0.55208 1:0.39845 2:0.428482 3:0.7249802099169 4:0.339 5:0.974656628401944 6:0.365077 7:0.933700003986952 8:0.462698 9:0.372597 10:0.453739 11:0.450392 12:0.4388 13:0.831547512277742 14:0.797066293770155 15:0.78876404494382 16:0.687640449438202 17:0.802985368611845 18:0.940656560924141 19:0.891011235955056 20:1.14311532341 21:0.3933 22:0.382 23:0.6966 30:0.446961 #T0911:MULTICOM-CLUSTER_TS1
0.65993 1:0.47096 2:0.465671 3:0.743643606434422 4:0.376 5:0.992745099973915 6:0.36107 7:0.943653562367317 8:0.440224 9:0.382622 10:0.42648 11:0.441498 12:0.4759 13:0.821617761300024 14:0.80721155218173 15:0.8 16:0.719101123595506 17:0.812560401039498 18:0.945887999977833 19:0.896629213483146 20:1.17367271109 21:0.4045 22:0.5618 23:0.8539 30:0.475768 #T0911:MULTICOM-CLUSTER_TS2
0.54167 1:0.34696 2:0.423081 3:0.732570216202799 4:0.337 5:0.960585923406146 6:0.33804 7:0.909361839607173 8:0.387253 9:0.293531 10:0.374653 11:0.377379 12:0.4437 13:0.806062287244151 14:0.81107845095745 15:0.755056179775281 16:0.676404494382022 17:0.816101235634823 18:0.945093484507576 19:0.874157303370787 20:1.08908466872 21:0.3034 22:0.4157 23:0.6854 30:0.434909 #T0911:MULTICOM-CLUSTER_TS3
0.50613 1:0.52824 2:0.418836 3:0.763031507294236 4:0.334 5:1 6:0.383871 7:0.963780198795285 8:0.504567 9:0.412211 10:0.471668 11:0.483486 12:0.4323 13:0.813613507016567 14:0.804914243314974 15:0.782022471910112 16:0.70561797752809 17:0.810757201275536 18:0.941182157911243 19:0.885393258426966 20:1.1909297093 21:0.3933 22:0.4382 23:0.7528 30:0.454272 #T0911:MULTICOM-CLUSTER_TS4
0.57904 1:0.38004 2:0.431368 3:0.736923828659663 4:0.342 5:0.965877665017825 6:0.361482 7:0.930871733098604 8:0.448192 9:0.345243 10:0.423955 11:0.427494 12:0.4406 13:0.82537853453938 14:0.793613195970435 15:0.797752808988764 16:0.687640449438202 17:0.803234474809052 18:0.944577605659749 19:0.896629213483146 20:1.1972349352 21:0.427 22:0.5056 23:0.7416 30:0.453817 #T0911:MULTICOM-CLUSTER_TS5
0.49694 1:0.49869 2:0.414376 3:0.769813855898556 4:0.330 5:0.992377331707034 6:0.381851 7:0.948983588877958 8:0.49817 9:0.406512 10:0.448084 11:0.459274 12:0.4308 13:0.806482381065105 14:0.805313775291801 15:0.764044943820225 16:0.707865168539326 17:0.810558422427112 18:0.941930661153399 19:0.878651685393258 20:1.17152621001 21:0.3258 22:0.4382 23:0.7753 30:0.448688 #T0911:MULTICOM-CONSTRUCT_TS1
0.5049 1:0.52540 2:0.417364 3:0.759314306038044 4:0.332 5:1 6:0.386612 7:0.966986359032776 8:0.518232 9:0.430952 10:0.49157 11:0.49794 12:0.4306 13:0.800910003234056 14:0.808495762107246 15:0.775280898876405 16:0.703370786516854 17:0.814355139099356 18:0.941249486193879 19:0.884269662921348 20:1.16262466412 21:0.4045 22:0.427 23:0.764 30:0.451980 #T0911:MULTICOM-CONSTRUCT_TS2
0.481 1:0.48500 2:0.394761 3:0.778155535439583 4:0.297 5:1 6:0.381777 7:0.959656047204819 8:0.493737 9:0.413751 10:0.485345 11:0.478126 12:0.4134 13:0.803028543041279 14:0.812162894894552 15:0.824719101123595 16:0.710112359550562 17:0.817407187194558 18:0.946894441194925 19:0.906741573033708 20:1.18571770503 21:0.4831 22:0.5955 23:0.9101 30:0.448328 #T0911:MULTICOM-CONSTRUCT_TS3
0.63358 1:0.43456 2:0.459827 3:0.762842148204773 4:0.370 5:0.987838632768798 6:0.364382 7:0.953506732287406 8:0.44946 9:0.374264 10:0.429648 11:0.421424 12:0.4707 13:0.825742415806197 14:0.805213892297594 15:0.813483146067416 16:0.707865168539326 17:0.810245114920471 18:0.945578073844332 19:0.903370786516854 20:1.20606058162 21:0.427 22:0.573 23:0.8202 30:0.473341 #T0911:MULTICOM-CONSTRUCT_TS4
0.55025 1:0.42795 2:0.415444 3:0.773380393183567 4:0.330 5:0.972653860618122 6:0.364175 7:0.935139691641209 8:0.485468 9:0.373205 10:0.442644 11:0.445829 12:0.4315 13:0.804808873981856 14:0.79816500670643 15:0.768539325842697 16:0.714606741573034 17:0.8055645882182 18:0.940694223705071 19:0.880898876404494 20:1.1535069675 21:0.382 22:0.4607 23:0.6742 30:0.442886 #T0911:MULTICOM-CONSTRUCT_TS5
0.50551 1:0.51121 2:0.416436 3:0.728326102697667 4:0.334 5:1 6:0.389757 7:0.96524678703464 8:0.50243 9:0.424777 10:0.474848 11:0.478492 12:0.4354 13:0.830192743045947 14:0.810536228988899 15:0.786516853932584 16:0.746067415730337 17:0.815860799908807 18:0.945776329148919 19:0.889887640449438 20:1.17313872605 21:0.3258 22:0.4382 23:0.7528 30:0.450674 #T0911:MULTICOM-NOVEL_TS1
0.54289 1:0.40840 2:0.422269 3:0.729985052981438 4:0.334 5:0.977709829016395 6:0.355609 7:0.948696379485321 8:0.451199 9:0.322323 10:0.408514 11:0.403366 12:0.4387 13:0.824677978081772 14:0.802959390428355 15:0.793258426966292 16:0.721348314606742 17:0.807988313754298 18:0.944707953840543 19:0.893258426966292 20:1.20577430408 21:0.4157 22:0.427 23:0.6629 30:0.445367 #T0911:MULTICOM-NOVEL_TS2
0.4712 1:0.47159 2:0.403141 3:0.715390406986198 4:0.314 5:1 6:0.368357 7:0.962786359895753 8:0.479787 9:0.3709 10:0.447621 11:0.451412 12:0.4208 13:0.793458005621255 14:0.832995633686253 15:0.797752808988764 16:0.678651685393258 17:0.835526520674331 18:0.9480466178236 19:0.895505617977528 20:1.19131859283 21:0.4157 22:0.427 23:0.7865 30:0.440897 #T0911:MULTICOM-NOVEL_TS3
